,COMEX:银:非商业多头持仓:持仓数量,COMEX:银:非商业空头持仓:持仓数量
1986-01-15,11687.0,7480.0
1986-01-31,10702.0,5664.0
1986-02-14,9113.0,7091.0
1986-02-28,10355.0,10555.0
1986-03-14,8740.0,7771.0
1986-03-31,8990.0,10443.0
1986-04-15,12005.0,8955.0
1986-04-30,7526.0,7486.0
1986-05-15,7598.0,8493.0
1986-05-30,10377.0,7920.0
1986-06-13,12768.0,7637.0
1986-06-30,5425.0,6399.0
1986-07-15,4965.0,7341.0
1986-07-31,7086.0,6131.0
1986-08-15,11302.0,3289.0
1986-08-29,9953.0,3424.0
1986-09-15,16365.0,4913.0
1986-09-30,12097.0,4808.0
1986-10-15,12235.0,4559.0
1986-10-31,13490.0,4438.0
1986-11-14,13833.0,5501.0
1986-11-28,8485.0,3951.0
1986-12-15,8741.0,3326.0
1986-12-31,8638.0,4693.0
1987-01-15,9986.0,3672.0
1987-01-30,10122.0,3729.0
1987-02-13,8984.0,4243.0
1987-02-27,9873.0,6561.0
1987-03-13,12775.0,5539.0
1987-03-31,19625.0,6973.0
1987-04-15,20923.0,8692.0
1987-04-30,15262.0,6519.0
1987-05-15,19916.0,6627.0
1987-05-29,11438.0,6578.0
1987-06-15,13384.0,3864.0
1987-06-30,13283.0,4697.0
1987-07-15,15011.0,5487.0
1987-07-31,17923.0,5983.0
1987-08-14,12014.0,5684.0
1987-08-31,9894.0,8965.0
1987-09-15,12743.0,7153.0
1987-09-30,9740.0,5956.0
1987-10-15,10543.0,5206.0
1987-10-30,9794.0,6055.0
1987-11-13,8154.0,5029.0
1987-11-30,7029.0,4308.0
1987-12-15,8767.0,4567.0
1987-12-31,7244.0,4499.0
1988-01-15,8337.0,4852.0
1988-01-29,7767.0,6428.0
1988-02-12,6719.0,7385.0
1988-02-29,9124.0,6019.0
1988-03-15,8042.0,4761.0
1988-03-31,14472.0,4154.0
1988-04-15,8005.0,5184.0
1988-04-29,8187.0,4149.0
1988-05-13,9568.0,4984.0
1988-05-31,11371.0,4968.0
1988-06-15,15304.0,5065.0
1988-06-30,12945.0,4251.0
1988-07-15,21107.0,5705.0
1988-07-29,13803.0,5459.0
1988-08-15,9494.0,5956.0
1988-08-31,7866.0,5179.0
1988-09-15,8573.0,5296.0
1988-09-30,7371.0,5538.0
1988-10-14,10886.0,5651.0
1988-10-31,9320.0,4116.0
1988-11-15,10628.0,4505.0
1988-11-30,10572.0,11505.0
1988-12-15,12242.0,10341.0
1988-12-30,12815.0,11186.0
1989-01-13,11392.0,12664.0
1989-01-31,13385.0,10332.0
1989-02-15,13333.0,9376.0
1989-02-28,14201.0,8555.0
1989-03-15,20438.0,4602.0
1989-03-31,19375.0,11191.0
1989-04-14,19359.0,10651.0
1989-04-28,17135.0,11074.0
1989-05-15,17893.0,13792.0
1989-05-31,15244.0,9429.0
1989-06-15,12541.0,7496.0
1989-06-30,11267.0,9083.0
1989-07-14,10808.0,7778.0
1989-07-31,12565.0,12069.0
1989-08-15,12261.0,10879.0
1989-08-31,13863.0,13822.0
1989-09-15,15299.0,14669.0
1989-09-29,17540.0,7600.0
1989-10-13,16530.0,12773.0
1989-10-31,16866.0,8308.0
1989-11-15,20754.0,2214.0
1989-11-30,27449.0,2564.0
1989-12-15,26513.0,3309.0
1989-12-29,17180.0,4373.0
1990-01-15,17366.0,6257.0
1990-01-31,16038.0,7111.0
1990-02-15,19825.0,4687.0
1990-02-28,19165.0,10279.0
1990-03-15,20497.0,13001.0
1990-03-30,19698.0,12453.0
1990-04-12,20310.0,8016.0
1990-04-30,19264.0,12738.0
1990-05-15,20451.0,11678.0
1990-05-31,25058.0,2232.0
1990-06-15,19336.0,12995.0
1990-06-29,23020.0,13259.0
1990-07-13,22927.0,11689.0
1990-07-31,19957.0,14596.0
1990-08-15,20153.0,3391.0
1990-08-31,16602.0,8976.0
1990-09-14,16862.0,10086.0
1990-09-28,17221.0,8559.0
1990-10-15,18328.0,9178.0
1990-10-31,19860.0,9393.0
1990-11-15,15257.0,6741.0
1990-11-30,16617.0,6680.0
1990-12-14,17426.0,9879.0
1990-12-31,17508.0,4098.0
1991-01-15,19645.0,6592.0
1991-01-31,17231.0,9362.0
1991-02-15,21931.0,8736.0
1991-02-28,21650.0,8553.0
1991-03-15,29042.0,2880.0
1991-03-28,27461.0,4249.0
1991-04-15,22744.0,3183.0
1991-04-30,23134.0,4830.0
1991-05-15,24657.0,3851.0
1991-05-31,24583.0,7249.0
1991-06-14,29982.0,2224.0
1991-06-28,29693.0,1823.0
1991-07-15,27926.0,4477.0
1991-07-31,20487.0,12187.0
1991-08-15,18460.0,17010.0
1991-08-30,19447.0,18416.0
1991-09-16,24077.0,14322.0
1991-09-30,24676.0,5901.0
1991-10-15,23108.0,7294.0
1991-10-31,23464.0,5719.0
1991-11-15,19832.0,10699.0
1991-11-29,18943.0,7906.0
1991-12-13,17215.0,23459.0
1991-12-31,18786.0,19802.0
1992-01-15,24533.0,10827.0
1992-01-31,27954.0,5828.0
1992-02-14,27420.0,5890.0
1992-02-28,25195.0,5989.0
1992-03-13,24606.0,6020.0
1992-03-31,27195.0,4661.0
1992-04-15,21324.0,10549.0
1992-04-30,23837.0,16537.0
1992-05-15,22686.0,7604.0
1992-05-29,22062.0,8321.0
1992-06-15,22793.0,5381.0
1992-06-30,20216.0,14043.0
1992-07-15,20994.0,13432.0
1992-07-31,20609.0,11364.0
1992-08-14,18372.0,15123.0
1992-08-31,20183.0,12992.0
1992-09-15,17395.0,6254.0
1992-09-30,18449.0,6896.0
1992-10-06,18538.0,7333.0
1992-10-13,18799.0,7304.0
1992-10-20,19438.0,6818.0
1992-10-27,20059.0,5916.0
1992-11-03,20605.0,5363.0
1992-11-10,22417.0,5220.0
1992-11-17,19292.0,4273.0
1992-11-24,19597.0,4547.0
1992-12-01,19225.0,3947.0
1992-12-08,18530.0,3947.0
1992-12-15,18533.0,5410.0
1992-12-22,19206.0,4756.0
1992-12-29,17683.0,7492.0
1993-01-05,17494.0,9198.0
1993-01-12,16665.0,6629.0
1993-01-19,17367.0,5350.0
1993-01-26,19557.0,3412.0
1993-02-02,18064.0,5225.0
1993-02-09,18480.0,5406.0
1993-02-16,17855.0,2831.0
1993-02-23,17134.0,15863.0
1993-03-02,18468.0,15709.0
