,COMEX:1号铜:非商业多头持仓:持仓数量,COMEX:1号铜:非商业空头持仓:持仓数量
1989-07-31,0.0,0.0
1989-08-15,0.0,0.0
1989-08-31,0.0,0.0
1989-09-15,0.0,0.0
1989-09-29,0.0,0.0
1989-10-13,0.0,200.0
1989-10-31,110.0,352.0
1989-11-15,141.0,249.0
1989-11-30,799.0,6776.0
1989-12-15,1224.0,7678.0
1989-12-29,623.0,6989.0
1990-01-15,1992.0,5804.0
1990-01-31,980.0,9028.0
1990-02-15,1740.0,5307.0
1990-02-28,3665.0,5683.0
1990-03-15,9687.0,5940.0
1990-03-30,9014.0,2811.0
1990-04-12,7752.0,4479.0
1990-04-30,3661.0,4705.0
1990-05-15,5982.0,1762.0
1990-05-31,4752.0,4167.0
1990-06-15,2917.0,4066.0
1990-06-29,8651.0,3709.0
1990-07-13,9321.0,1203.0
1990-07-31,7754.0,1657.0
1990-08-15,7507.0,2587.0
1990-08-31,7407.0,1683.0
1990-09-14,7032.0,2088.0
1990-09-28,2908.0,4372.0
1990-10-15,2423.0,5407.0
1990-10-31,1862.0,4194.0
1990-11-15,2275.0,3544.0
1990-11-30,1621.0,6800.0
1990-12-14,1457.0,10333.0
1990-12-31,1887.0,5349.0
1991-01-15,6456.0,3542.0
1991-01-31,673.0,7704.0
1991-02-15,972.0,6598.0
1991-02-28,2228.0,5449.0
1991-03-15,1914.0,5841.0
1991-03-28,1820.0,6848.0
1991-04-15,2135.0,5727.0
1991-04-30,3100.0,9329.0
1991-05-15,1192.0,14257.0
1991-05-31,766.0,13648.0
1991-06-14,583.0,8431.0
1991-06-28,2002.0,5968.0
1991-07-15,942.0,6664.0
1991-07-31,2044.0,6672.0
1991-08-15,2424.0,4823.0
1991-08-30,5956.0,2511.0
1991-09-16,11435.0,2933.0
1991-09-30,11931.0,4348.0
1991-10-15,10106.0,5585.0
1991-10-31,12711.0,6012.0
1991-11-15,9164.0,5743.0
1991-11-29,6335.0,5282.0
1991-12-13,2748.0,16421.0
1991-12-31,1233.0,14487.0
1992-01-15,1042.0,16046.0
1992-01-31,1933.0,10073.0
1992-02-14,5109.0,5964.0
1992-02-28,11686.0,3543.0
1992-03-13,8039.0,2223.0
1992-03-31,8441.0,1827.0
1992-04-15,4087.0,2008.0
1992-04-30,4002.0,2471.0
1992-05-15,5912.0,1515.0
1992-05-29,6421.0,1218.0
