,NYMEX:轻质低硫原油(WTI原油):非商业多头持仓:持仓数量,NYMEX:轻质低硫原油(WTI原油):非商业空头持仓:持仓数量
1986-01-15,2560.0,11594.0
1986-01-31,3405.0,8095.0
1986-02-14,5325.0,6896.0
1986-02-28,8756.0,5344.0
1986-03-14,12143.0,6800.0
1986-03-31,11074.0,11234.0
1986-04-15,13069.0,14111.0
1986-04-30,12758.0,16861.0
1986-05-15,17919.0,18404.0
1986-05-30,13518.0,15798.0
1986-06-13,15119.0,18063.0
1986-06-30,17393.0,14635.0
1986-07-15,19287.0,14530.0
1986-07-31,28598.0,17528.0
1986-08-15,20652.0,5337.0
1986-08-29,23566.0,5377.0
1986-09-15,21367.0,5327.0
1986-09-30,17727.0,7147.0
1986-10-15,24428.0,9876.0
1986-10-31,25243.0,13020.0
1986-11-14,22044.0,9218.0
1986-11-28,21781.0,12658.0
1986-12-15,29669.0,10692.0
1986-12-31,19387.0,12954.0
1987-01-15,17569.0,18749.0
1987-01-30,14868.0,21161.0
1987-02-13,10577.0,19861.0
1987-02-27,15648.0,21073.0
1987-03-13,11155.0,25583.0
1987-03-31,18828.0,24994.0
1987-04-15,12671.0,30537.0
1987-04-30,16024.0,27069.0
1987-05-15,20702.0,18231.0
1987-05-29,21038.0,18832.0
1987-06-15,24643.0,19626.0
1987-06-30,20417.0,20460.0
1987-07-15,28761.0,18440.0
1987-07-31,26520.0,22017.0
1987-08-14,37610.0,20184.0
1987-08-31,18410.0,22309.0
1987-09-15,22240.0,17669.0
1987-09-30,20939.0,20531.0
1987-10-15,20837.0,20096.0
1987-10-30,11472.0,17226.0
1987-11-13,11628.0,17519.0
1987-11-30,10762.0,30489.0
1987-12-15,14287.0,37920.0
1987-12-31,15328.0,28454.0
1988-01-15,17079.0,30509.0
1988-01-29,14363.0,25636.0
1988-02-12,14725.0,28746.0
1988-02-29,10388.0,37579.0
1988-03-15,11183.0,21839.0
1988-03-31,9240.0,24952.0
1988-04-15,18569.0,27981.0
1988-04-29,18368.0,29294.0
1988-05-13,17833.0,20669.0
1988-05-31,17154.0,23579.0
1988-06-15,15435.0,25524.0
1988-06-30,16425.0,28287.0
1988-07-15,11295.0,29873.0
1988-07-29,11745.0,27184.0
1988-08-15,12816.0,24455.0
1988-08-31,11079.0,26014.0
1988-09-15,9046.0,46018.0
1988-09-30,11068.0,42265.0
1988-10-14,11990.0,40098.0
1988-10-31,11749.0,34322.0
1988-11-15,12816.0,24487.0
1988-11-30,12389.0,32996.0
1988-12-15,23050.0,26946.0
1988-12-30,15975.0,30507.0
1989-01-13,16028.0,31110.0
1989-01-31,15064.0,33228.0
1989-02-15,19950.0,30634.0
1989-02-28,22717.0,32244.0
1989-03-15,20433.0,26213.0
1989-03-31,15526.0,31906.0
1989-04-14,15520.0,25770.0
1989-04-28,13965.0,38243.0
1989-05-15,10334.0,20517.0
1989-05-31,14399.0,15078.0
1989-06-15,13528.0,15303.0
1989-06-30,15081.0,15562.0
1989-07-14,16151.0,12644.0
1989-07-31,10382.0,13224.0
1989-08-15,9900.0,13491.0
1989-08-31,9672.0,15716.0
1989-09-15,15442.0,13839.0
1989-09-29,17384.0,14991.0
1989-10-13,17399.0,14615.0
1989-10-31,10949.0,21360.0
1989-11-15,9386.0,22389.0
1989-11-30,6945.0,23980.0
1989-12-15,12120.0,14296.0
1989-12-29,13776.0,21286.0
1990-01-15,13137.0,20357.0
1990-01-31,14229.0,15933.0
1990-02-15,23419.0,14301.0
1990-02-28,23705.0,15599.0
1990-03-15,13888.0,8286.0
1990-03-30,10748.0,14586.0
1990-04-12,6588.0,24287.0
1990-04-30,7825.0,27395.0
1990-05-15,11063.0,21015.0
1990-05-31,7690.0,24845.0
1990-06-15,11434.0,19116.0
1990-06-29,11989.0,29265.0
1990-07-13,11990.0,20871.0
1990-07-31,15540.0,26302.0
1990-08-15,10972.0,22707.0
1990-08-31,5923.0,22679.0
1990-09-14,12987.0,21826.0
1990-09-28,5997.0,26007.0
1990-10-15,3289.0,18966.0
1990-10-31,5812.0,13654.0
1990-11-15,5154.0,9560.0
1990-11-30,3964.0,11162.0
1990-12-14,4482.0,6532.0
1990-12-31,6101.0,3427.0
1991-01-15,4728.0,8098.0
1991-01-31,5619.0,8842.0
1991-02-15,5446.0,5299.0
1991-02-28,1868.0,6824.0
1991-03-15,2686.0,8416.0
1991-03-28,6449.0,6229.0
1991-04-15,10689.0,7319.0
1991-04-30,10198.0,12136.0
1991-05-15,13805.0,6603.0
1991-05-31,15686.0,8662.0
1991-06-14,10442.0,10727.0
1991-06-28,12893.0,5557.0
1991-07-15,16560.0,3987.0
1991-07-31,19385.0,5408.0
1991-08-15,14126.0,11891.0
1991-08-30,15702.0,4934.0
1991-09-16,7220.0,12072.0
1991-09-30,24100.0,18005.0
1991-10-15,25372.0,16702.0
1991-10-31,22590.0,24238.0
1991-11-15,9593.0,23328.0
1991-11-29,14952.0,24033.0
1991-12-13,16397.0,19827.0
1991-12-31,13791.0,19396.0
1992-01-15,18287.0,13899.0
1992-01-31,10529.0,16990.0
1992-02-14,15904.0,19848.0
1992-02-28,6853.0,17585.0
1992-03-13,10050.0,14381.0
1992-03-31,12846.0,10658.0
1992-04-15,19666.0,5539.0
1992-04-30,25719.0,6995.0
1992-05-15,17874.0,13447.0
1992-05-29,26037.0,24687.0
1992-06-15,23764.0,20650.0
1992-06-30,16320.0,17162.0
1992-07-15,13465.0,18542.0
1992-07-31,13496.0,20828.0
1992-08-14,8601.0,21303.0
1992-08-31,9678.0,24901.0
1992-09-15,14222.0,12638.0
1992-09-30,11152.0,24256.0
1992-10-06,10560.0,17536.0
1992-10-13,19421.0,7487.0
1992-10-20,20241.0,11498.0
1992-10-27,4478.0,25268.0
1992-11-03,4252.0,31971.0
1992-11-10,9573.0,26143.0
1992-11-17,10397.0,23708.0
1992-11-24,15805.0,19989.0
1992-12-01,12211.0,23353.0
1992-12-08,13928.0,27122.0
1992-12-15,11246.0,20987.0
1992-12-22,12642.0,19896.0
1992-12-29,12781.0,20845.0
1993-01-05,12976.0,22392.0
1993-01-12,10910.0,31307.0
1993-01-19,9019.0,22911.0
1993-01-26,10629.0,18095.0
1993-02-02,12093.0,13622.0
1993-02-09,11102.0,15230.0
1993-02-16,12222.0,8040.0
1993-02-23,18641.0,9698.0
1993-03-02,19399.0,5964.0
1993-03-09,22636.0,5274.0
1993-03-16,18741.0,8469.0
1993-03-23,18179.0,6817.0
1993-03-30,18756.0,7985.0
1993-04-06,17559.0,4525.0
1993-04-13,17716.0,4242.0
1993-04-20,19912.0,7429.0
1993-04-27,19930.0,8268.0
1993-05-04,18229.0,8676.0
1993-05-11,22235.0,8891.0
1993-05-18,21520.0,28020.0
1993-05-25,25634.0,28186.0
1993-06-01,26348.0,20592.0
1993-06-08,25005.0,26935.0
1993-06-15,12755.0,28801.0
1993-06-22,16709.0,29946.0
1993-06-29,18693.0,29182.0
1993-07-06,16656.0,38216.0
1993-07-13,9724.0,38788.0
1993-07-20,7841.0,49059.0
1993-07-27,7785.0,48980.0
1993-08-03,9159.0,47489.0
1993-08-10,10339.0,44040.0
1993-08-17,13888.0,29989.0
1993-08-24,10662.0,30581.0
1993-08-31,11388.0,31286.0
