indicator,frequency,unit,id,period,product,sector,unitRatio,ratio,index
开工率:苯乙烯:全国估计,周,%,S5444097,2013-05-18:2018-08-02,TA,,1,0.333,0
开工率:PTA:国内,周,%,S5446148,2013-08-26:2018-08-03,TA,,1,0.333,1
PTA产业链负荷率:PTA工厂,日,%,S5417017,2009-01-06:2018-08-08,TA,,1,0.333,2
开工率:PVC:华北下游,日,%,S5471263,2016-08-11:2018-08-02,V,,1,0.5,3
开工率:PVC:华南下游,日,%,S5471264,2016-08-11:2018-08-02,V,,1,0.5,4
开工率:PE:上游,日,%,S5471274,2016-08-11:2018-08-02,L,,1,1,5
开工率:PP下游:塑编,周,%,S5448966,2015-04-15:2018-08-03,PP,,1,0.5,6
开工率:PP下游:共聚注塑,周,%,S5448967,2015-04-15:2018-08-03,PP,,1,0.5,7
开工率:石油沥青装置,周,%,S5449386,2015-05-30:2018-08-02,BU,,1,0.5,8
炼油厂开工率:总计,周,%,S5448900,2015-04-03:2018-08-02,BU,,1,0.5,9
高炉开工率:全国,周,%,S5708175,2012-07-28:2018-08-03,RB,,1,0.5,10
螺纹钢:主要钢厂开工率:全国,周,%,S5713303,2015-02-21:2018-08-03,RB,,1,0.5,11
ALD:氧化铝:开工率,月,%,S5809464,2010-11:2018-06,AL,,1,0.5,12
ALD:电解铝:开工率,月,%,S5809467,2010-11:2018-05,AL,,1,0.5,13
产能利用率:氧化铝:中国,月,%,S5811093,2012-01:2018-05,AL,,1,0.5,14
产能利用率:电解铝:中国,月,%,S5811159,2012-01:2018-05,AL,,1,0.5,15
浮法玻璃:生产线开工率,日,%,S5914166,2002-01-11:2018-08-03,FG,,1,0.5,16
浮法玻璃:产能利用率,日,%,S5914175,2002-01-11:2018-08-03,FG,,1,0.5,17
开工率:汽车轮胎:全钢胎,日,%,S6124650,2013-06-01:2018-08-03,RU,,1,0.5,18
开工率:汽车轮胎:半钢胎,日,%,S6124651,2013-07-18:2018-08-03,RU,,1,0.5,19
6大发电集团耗煤量:当月同比,月,%,S5116625,2010-10:2018-07,ZC,,1,1,20
