indicator,freq,unit,id,time
LME:铝:投资公司或信贷机构多头持仓:持仓数量,周,手,S0263884,2015-03-18:2018-08-31
LME:铝:投资公司或信贷机构空头持仓:持仓数量,周,手,S0263885,2015-03-18:2018-08-31
LME:铝:商业企业多头持仓:持仓数量,周,手,S0263886,2015-03-18:2018-08-31
LME:铝:商业企业空头持仓:持仓数量,周,手,S0263887,2015-03-18:2018-08-31
LME:铝:其他金融机构多头持仓:持仓数量,周,手,S0263890,2015-03-18:2018-08-31
LME:铝:其他金融机构空头持仓:持仓数量,周,手,S0263891,2015-03-18:2018-08-31
LME:铝:运营商多头持仓:持仓数量,周,手,S0263892,2015-03-18:2018-08-31
LME:铝:运营商空头持仓:持仓数量,周,手,S0263893,2015-03-18:2018-08-31
LME:铝:投资基金多头持仓:持仓数量,周,手,S0265215,2018-02-24:2018-08-31
LME:铝:投资基金空头持仓:持仓数量,周,手,S0265216,2018-02-24:2018-08-31
LME:铜:投资公司或信贷机构多头持仓:持仓数量,周,手,S0263920,2015-03-18:2018-08-31
LME:铜:投资公司或信贷机构空头持仓:持仓数量,周,手,S0263921,2015-03-18:2018-08-31
LME:铜:商业企业多头持仓:持仓数量,周,手,S0263922,2015-03-18:2018-08-31
LME:铜:商业企业空头持仓:持仓数量,周,手,S0263923,2015-03-18:2018-08-31
LME:铜:其他金融机构多头持仓:持仓数量,周,手,S0263926,2015-03-18:2018-08-31
LME:铜:其他金融机构空头持仓:持仓数量,周,手,S0263927,2015-03-18:2018-08-31
LME:铜:运营商多头持仓:持仓数量,周,手,S0263928,2015-03-18:2018-08-31
LME:铜:运营商空头持仓:持仓数量,周,手,S0263929,2015-03-18:2018-08-31
LME:铜:投资基金多头持仓:持仓数量,周,手,S0265222,2018-02-24:2018-08-31
LME:铜:投资基金空头持仓:持仓数量,周,手,S0265223,2018-02-24:2018-08-31
LME:镍:投资公司或信贷机构多头持仓:持仓数量,周,手,S0264028,2015-04-15:2018-08-31
LME:镍:投资公司或信贷机构空头持仓:持仓数量,周,手,S0264029,2015-04-15:2018-08-31
LME:镍:商业企业多头持仓:持仓数量,周,手,S0264030,2015-04-15:2018-08-31
LME:镍:商业企业空头持仓:持仓数量,周,手,S0264031,2015-04-15:2018-08-31
LME:镍:其他金融机构多头持仓:持仓数量,周,手,S0264034,2015-04-15:2018-08-31
LME:镍:其他金融机构空头持仓:持仓数量,周,手,S0264035,2015-04-15:2018-08-31
LME:镍:运营商多头持仓:持仓数量,周,手,S0264036,2015-04-15:2018-08-31
LME:镍:运营商空头持仓:持仓数量,周,手,S0264037,2015-04-15:2018-08-31
LME:镍:投资基金多头持仓:持仓数量,周,手,S0265236,2018-02-24:2018-08-31
LME:镍:投资基金空头持仓:持仓数量,周,手,S0265237,2018-02-24:2018-08-31
LME:铅:投资公司或信贷机构多头持仓:持仓数量,周,手,S0264064,2015-04-15:2018-08-31
LME:铅:投资公司或信贷机构空头持仓:持仓数量,周,手,S0264065,2015-04-15:2018-08-31
LME:铅:商业企业多头持仓:持仓数量,周,手,S0264066,2015-04-15:2018-08-31
LME:铅:商业企业空头持仓:持仓数量,周,手,S0264067,2015-04-15:2018-08-31
LME:铅:其他金融机构多头持仓:持仓数量,周,手,S0264070,2015-04-15:2018-08-31
LME:铅:其他金融机构空头持仓:持仓数量,周,手,S0264071,2015-04-15:2018-08-31
LME:铅:运营商多头持仓:持仓数量,周,手,S0264072,2015-04-15:2018-08-31
LME:铅:运营商空头持仓:持仓数量,周,手,S0264073,2015-04-15:2018-08-31
LME:铅:投资基金多头持仓:持仓数量,周,手,S0265243,2018-02-24:2018-08-31
LME:铅:投资基金空头持仓:持仓数量,周,手,S0265244,2018-02-24:2018-08-31
LME:锡:投资公司或信贷机构多头持仓:持仓数量,周,手,S0264100,2015-04-15:2018-08-31
LME:锡:投资公司或信贷机构空头持仓:持仓数量,周,手,S0264101,2015-04-15:2018-08-31
LME:锡:商业企业多头持仓:持仓数量,周,手,S0264102,2015-04-15:2018-08-31
LME:锡:商业企业空头持仓:持仓数量,周,手,S0264103,2015-04-15:2018-08-31
LME:锡:其他金融机构多头持仓:持仓数量,周,手,S0264106,2015-04-15:2018-08-31
LME:锡:其他金融机构空头持仓:持仓数量,周,手,S0264107,2015-04-15:2018-08-31
LME:锡:运营商多头持仓:持仓数量,周,手,S0264108,2015-10-20:2018-08-31
LME:锡:运营商空头持仓:持仓数量,周,手,S0264109,2015-10-20:2018-08-31
LME:锡:投资基金多头持仓:持仓数量,周,手,S0265250,2018-02-24:2018-08-31
LME:锡:投资基金空头持仓:持仓数量,周,手,S0265251,2018-02-24:2018-08-31
LME:锌:投资公司或信贷机构多头持仓:持仓数量,周,手,S0264136,2015-04-15:2018-08-31
LME:锌:投资公司或信贷机构空头持仓:持仓数量,周,手,S0264137,2015-04-15:2018-08-31
LME:锌:商业企业多头持仓:持仓数量,周,手,S0264138,2015-04-15:2018-08-31
LME:锌:商业企业空头持仓:持仓数量,周,手,S0264139,2015-04-15:2018-08-31
LME:锌:其他金融机构多头持仓:持仓数量,周,手,S0264142,2015-04-15:2018-08-31
LME:锌:其他金融机构空头持仓:持仓数量,周,手,S0264143,2015-04-15:2018-08-31
LME:锌:运营商多头持仓:持仓数量,周,手,S0264144,2015-04-15:2018-08-31
LME:锌:运营商空头持仓:持仓数量,周,手,S0264145,2015-04-15:2018-08-31
LME:锌:投资基金多头持仓:持仓数量,周,手,S0265229,2018-02-24:2018-08-31
LME:锌:投资基金空头持仓:持仓数量,周,手,S0265230,2018-02-24:2018-08-31
